DIR,CONSOLIDADO UNIDADE,UNIDADE,Nº INICIATIVAS,INICIATIVAS,RISCO ESTRATÉGICO,PLANO DE NEGÓCIO,QTD ITENS MONITORADOS - 1º trimestre,
GADP,OUVIDORIA,OUVIDORIA,04,04,00,00,04,
GADP,UNICRS,UNICRS,04,02,02,00,04,
GADP,UNISECI,UNISECI,02,02,00,00,02,
GADP,UNIJUR,UNIJUR,03,03,00,00,03,
GADP,ASSCOM,ASSCOM,05,05,00,00,05,
GADP,UGGOV,UGGOV,03,02,01,00,03,
GADP,UGGOV,UGGOV_GEPP,07,07,00,00,07,
GADP,UGGOV,UGGOV_GGES,04,04,00,00,04,
GADP,UGPRO,UGPRO,07,07,00,00,07,
DAFI,UGACO,UGACO,01,01,00,00,01,
DAFI,UGACO,UGACO_GCTO,02,01,01,00,02,
DAFI,UGACO,UGACO_GAQS,03,01,02,00,00,Abertura de Chamado - Servicenow
DAFI,UGPES,UGPES,06,03,03,00,06,
DAFI,UGPES,UGPES_GACD,01,01,00,00,01,
DAFI,UGPES,UGPES_GPMM,01,01,00,00,01,
DAFI,UGADM,UGADM,01,01,00,00,01,
DAFI,UGADM,UGADM_GEPM,03,03,00,00,03,
DAFI,UGADM,UGADM_GETS,03,03,00,00,03,
DAFI,UGCOF,UGCOF,06,06,00,00,06,
DAFI,UGCOF,UGCOF_GICF,02,00,02,00,02,
DAFI,UGCOF,UGCOF_GCCP,02,00,02,00,02,
DAFI,UGOFF,UGOFF,03,02,01,00,03,
DAFI,UGOFF,UGOFF_GEOR,00,00,00,00,-,
DAFI,UGOFF,UGOFF_GEFI,01,01,00,00,01,
DAFI,UGOFF,UGOFF_GFAC,01,00,01,00,01,
DTIC,DTIC,DTIC,04,04,00,00,04,
DTIC,UGGDC,UGGDC,03,00,03,00,03,
DTIC,UGGDC,UGGDC_GEGD,01,01,00,00,00,
DTIC,UGGDC,UGGDC_GEDC,01,00,01,00,00,
DTIC,UGSDG,UGSDG,03,01,02,00,00,
DTIC,UGSDG,UGSDG_GFTG,00,00,00,00,-,
DTIC,UGSDG,UGSDG_GSPT,00,00,00,00,-,
DTIC,UGSDG,UGSDG_GAOI,00,00,00,00,-,
DTIC,UGSDG,UGSDG_GPSE,00,00,00,00,-,
DTIC,UGSDG,UGSDG_GCOT,01,00,01,00,01,
DTIC,UGSTI,UGSTI,03,01,02,00,03,
DTIC,UGSTI,UGSTI_GCES,00,00,00,00,-,
DTIC,UGSTI,UGSTI_GSUP,00,00,00,00,-,
DTIC,UGSTI,UGSTI_GSIC,01,00,01,00,01,
DTIC,UGITI,UGITI,07,03,04,00,00,
DTIC,UGITI,UGITI_GPAC,01,00,01,00,01,
DTIC,UGITI,UGITI_GRCO,01,00,01,00,01,
DTIC,UGITI,UGITI_GABD,00,00,00,00,-,
DTIC,UGGDI,UGGDI,03,01,02,00,03,
DTIC,UGGDI,UGGDI_GPGD,01,01,00,00,01,
DTIC,UGARQ,UGARQ,02,01,01,00,00,
DTIC,UGARQ,UGARQ_GASI,00,00,00,00,-,
DTIC,UGARQ,UGARQ_GIAP,02,01,01,00,00,
DIRC,DIRC,DIRC,17,00,00,17,17,
DIRC,UGVEN,UGVEN,06,04,02,00,06,
DIRC,UGEPV,UGEPV,16,10,06,00,16,
DIRC,UGENP,UGENP,09,06,03,00,09,
DIRC,UGENP,UGENP_GPIN,06,05,01,00,06,DIFERENÇA
X,TOTAL,TOTAL,163,99,47,17,144,19
