UNIDADE,CRITERIO,ALINEA,OPORTUNIDADE DE MELHORIA,INSTRUMENTO,O QUE,COMO
UGGOV,Governança,f) 01 - A alta direção promove a edição ou atualização da Carta de Serviços ao Cidadão.,Instituir PMP - padrão de mapeamento de processo para operacionalização e atualização sistematizada da Carta de Serviços ,IMGG - GOV BR,Mapear o processo de Carta de Serviço.,"IMGG: Preenchendo o PMP de acordo com as regras negociais do Escritório de processos. Consultando e elaborando em conjunto com a ouvidoria da MTI e com a Diretoria de Relacionamento com Cliente. Validando junto ao Diretor Presidente para aprovação e institucionalização

Complemento: - Identificando os atores envolvidos.
- Elaborando proposta de processo mapeado.
- Validar processo.
- Publicar processo.
- Revisar portaria 24/2021"
UGGOV,Estratégias e Planos,a) 02 - As estratégias ou as metas são divulgadas.,Sistematizar o envio semestral dos resultados do Plano Estratégico para todos os colaboradores,IMGG - GOV BR,Padronizar a disseminação semestral dos resultados da estratégia para todos os colaboradores.,"IMGG: Elaborando relatório-resumo de acordo com os resultados obtidos via controle do sistema de indicadores. Após isso, publicar na intranet, elaborar mensagem e enviar para todos os colaboradores da MTI.

Complemento:
- Elaborando proposta de documento (apresentação, pdf, planilha) em linguagem simples, com as informações a serem disseminadas.
- Programando o  envio a todos da MTI junto à ASSCOM"
UGGOV,Estratégias e Planos,c) 02 - Os planos de ação para as prioridades ou estratégias estabelecidas são divulgados.,Disponibilizar na intranet: Planos das iniciativas estratégicas. ,IMGG - GOV BR,Fazer a publicação na intranet dos planos das iniciativas estratégicas para acesso de todos os colaboradores,"A partir das informações disponíveis das iniciativas estratégicas, providenciar a demonstração através de arquivo digital e publicando-o na INTRANET. Havendo alterações nos planos, estes serão mantidos atualizados mensalmente na INTRANET. Os resultados também serão atualizados trimestralmente"
UGGOV,Processos,d) 01 - Os principais processos finalísticos são monitorados.,Aprimorar o monitoramento dos processos críticos da área finalística da MTI ,IMGG - GOV BR,Monitoramento dos processos dtic,"Com base na metodologia de melhoria de processos e das boas práticas de gestão consignadas em gestão de processos, proceder análise quanto aos processos instituídos e sua execução e resultados. A análise será coordenada pela equipe da UGGOV com a participação das partes diretamente envolvidas em cada processo."
UGGOV,Valor Público,"a) 01 - Os indicadores de desempenho para medir os resultados relativos às estratégias ou às prioridades estabelecidas estão definidos.
","Implantar novo indicador na uggov ""Índice de cumprimento do Plano Estratégico",IMGG - GOV BR,Considerar o indicador sugerido pelo modelo IMGG e adotá-lo para 2025,Incluindo no rol de indicadores operacionais da UGGOV para o ano de 2025. Analisando a métrica a ser utilizada e meta junto ao Diretor-Presidente. O controle ocorrerá conforme o monitoramento mensal sistematizado para a gestão de indicadores na MTI
UGGOV,Liderança,b) há procedimentos definidos para transmissão de informação e conhecimento no momento da sucessão de membros da alta administração.,Elaborar PMP para sucessão de membros da alta administração,iESGo - TCU,Elaborar uma proposta de mapeamento de processo para a transmissão de informações e conhecimento nas sucessões dos membros da alta administração.,"- Elaborando proposta de PMP com as informações do mapeamento e a modelagem do processo.
- Levar para validação e aprovação da presidência."
UGGOV,Estratégia,b) há indicadores de efetividade para a estratégia;,Criar indicadores de efetividade da estratégia.,iESGo - TCU,Criar indicador para monitorar o cumprimento do Plano Estratégico.,"- Elaborar proposta de indicador para monitoramento do PE.
- Validar junto a DIREX.
- Monitorar indicador."
UGPRO,Gestão de Tecnologia da Informação e da Segurança da Informação,"b) escopo, custos, uso de recursos e cumprimento de prazos são gerenciados em cada projeto.",Adotar o gerenciamento de custos,iESGo - TCU,Implementação/ Parametrização da funcionalidade Períodos Fiscais no ServiceNow.,"1. Alinhar com o Time VA (Parceira ServiceNow) a melhor prática na parametrização e implementação da funcionalidade de Períodos Fiscais, considerando o modelo de negócio da MTI; 2. Reunir com as áreas chaves da DTIC no alinhamento e repasse das informações, por meio de capacitações e disponibilização de material orientativo.; 3. Aplicar em um projeto piloto e acompanhar a evolução da funcionalidade.; 4. Implementação em escala no ServiceNow.
"
OUVIDORIA,Estratégia,"e) o conteúdo mínimo exigido por atos normativos é publicado em formato aberto (possibilita a gravação de relatórios em formatos eletrônicos, abertos e não proprietários).",Aperfeiçoar o Plano de Dados Abertos,iESGo - TCU,"Revisar a aprimorar o Plano de Dados Abertos, levantando novas bases necessárias para abertura e publicando nova versão","- Capacitação e atualização no tema 
- levantamento das bases de dados publicáveis em formato aberto
- elaboração de nova versão do plano
- validação e publicação do Plano
- Implementação do Plano
- Monitoramento do Plano

 "
OUVIDORIA,Estratégia,"c) nos extratos de planos de responsabilidade da organização, são publicados indicadores de desempenho (que permitam medir eficácia e efetividade) associados a cada um dos objetivos.",Fazer publicação dos indicadores dentro do Relatório Anual de Ouvidoria (PDA),iESGo - TCU,Aprimorar modelo do Relatório quadrimestral e Anual de Ouvidoria a fim de incluir os indicadores de desempenho da Ouvidoria,"- Novo modelo instituído
- Indicadores monitorados
- Indicadores incluídos nos relatórios"
OUVIDORIA,Estratégia,"h) todos os extratos de planos de responsabilidade da organização e respectivos relatórios de acompanhamento estão publicados na internet (por ex.: no Portal Brasileiro de Dados Abertos), excepcionados os casos de sigilo amparados pela legislação.",Monitorar os planos,iESGo - TCU,Contemplada na OM linha 6,Contemplada na OM linha 6
OUVIDORIA,Gestão de Tecnologia da Informação e da Segurança da Informação,"e) informações críticas para a organização em razão de necessidades do negócio (p. ex.: requisitos associados à integridade, disponibilidade, autenticidade ou a outros atributos da informação) são identificadas e rotuladas, com vistas a viabilizar adequado tratamento e proteção.",Classificar informação com base no inventário,iESGo - TCU,Criação de um regulamento de sigilo incluindo a classificação das informações identificadas como sigilosas,"- Criação de um Regulamento de Sigilo Estratégico e Comercial
- Levantamento de informações consideradas sigilosas
- Classificação das informações identificadas como sigilosas"
UNICRS,Governança," 01 - A alta direção assegura a realização periódica de cópia de segurança (backups), senhas de acesso, entre outras práticas de segurança dos sistemas de informação.",Revisar Política de Segurança da Informação,IMGG - GOV BR,Revisão e publicação da Política de Segurança da Informação,"Analisando a política atual, avaliando outros exemplares de políticas em setores da TI. Avaliando as orientações já instituídas em legislações bem como em boas práticas de gestão pertinentes ao tema. A elaboração será feita em conjunto com o Comitê de Adequação à LGPD da MTI, será validada pelo Comitê de Segurança da Informação e, após aprovação por este fórum, será submetida para análise e aprovação da Diretoria Executiva."
UNICRS,Governança,02 - A alta direção promove o comportamento ético em relação aos compromissos assumidos.,Elaborar código de conduta para fornecedores e parceiros,IMGG - GOV BR,Elaborar código de conduta para fornecedores e parceiros comerciais,"Através de pesquisas de melhores práticas do mercado; elaboração de minuta; apresentação da minuta à Comissão de Conduta e Integridade para análise, sugestões e validação; validação do Presidente e aprovação do Conselho de Administração da MTI"
UNICRS,Estratégia,d) o processo de gestão de riscos está formalizado.,Atualizar manual e regulamento e aprovar no órgão competente,iESGo - TCU,"Atualizar o manual e o regulamento de gerenciamento de riscos corporativos, e aprovar da DIREX","- Análise do documento existente;
- Estudo da ISO 31000 atualizada;
- Pesquisa de melhores práticas no mercado atual;
- Elaboração da minuta dos documentos; 
- Submeter as minutas ao CSIR, para análise, contribuições e validação;
- Submeter os documentos para aprovação da DIREX."
UNICRS,Estratégia,"d) há procedimentos administrativos padronizados para apuração e tratamento de atos lesivos cometidos por pessoas jurídicas contra a organização (p. ex.: detalhamento de ações para realização de processo administrativo de responsabilização, de acordos de leniência, procedimentos baseados nas diretrizes da Lei 12.846/2013).",Elaborar código de conduta e integridade para fornecedores e parceiros comerciais,iESGo - TCU,Elaborar código de conduta para fornecedores e parceiros comerciais,"Através de pesquisas de melhores práticas do mercado; elaboração de minuta; apresentação da minuta à Comissão de Conduta e Integridade para análise, sugestões e validação; validação do Presidente e aprovação do Conselho de Administração da MTI"
UNICRS,Estratégia,a) há política de gestão de continuidade do negócio (PGCN) aprovada pela alta administração.,Elaborar o PGCN,iESGo - TCU,Elaborar e publicar a PCN,"- Análise do documento existente, elaborado em 2023;
- Estudo da ISO 22301;
- Elaboração da minuta;
- Submeter a minuta ao CSIR para análise, contribuição e validação; 
- Submeter os documentos para aprovação em DIREX."
UNICRS,Gestão de Tecnologia da Informação e da Segurança da Informação,b) a política (ou norma interna complementar) contempla diretrizes sobre gestão de riscos de segurança da informação.,Revisar a Política de Segurança da Informação,iESGo - TCU,Revisão e publicação da Política de Segurança da Informação,"Analisando a política atual, avaliando outros exemplares de políticas em setores da TI. Avaliando as orientações já instituídas em legislações bem como em boas práticas de gestão pertinentes ao tema. A elaboração será feita em conjunto com o Comitê de Adequação à LGPD da MTI, será validada pelo Comitê de Segurança da Informação e, após aprovação por este fórum, será submetida para análise e aprovação da Diretoria Executiva."
UNICRS,Gestão de Tecnologia da Informação e da Segurança da Informação,"d) o gestor institucional de segurança da informação detém as prerrogativas e os recursos necessários para o desempenho de todas as suas competências (nível hierárquico adequado, pessoal suficiente alocado etc.).",Estabelecer os limites de atuação no processo de segurança da informação,iESGo - TCU,Revisar  o PMP - Gestão dos Instrumentos Normativos da Segurança da Informação,"- Revisando o  PMP; 
 -Aprovando na presidência e publicar na intranet"
