PADRÃO,U.A.,CÓDIGO,DATA EFETIVAÇÃO,DATA ÚLTIMA REVISÃO,Nº ÚLTIMA REVISÃO,STATUS,PRAZO VALIDADE,DIAS PARA VENCIMENTO,NA INTRANET?,OBSERVAÇÃO,LINK
Gerir Demanda,UGENE,UGENE/PMP - 0001,04/12/2020,04/12/2020,00,VENCIDO,03/12/2024,-164,SIM,GESTOR NOTIFICADO VIA EMAIL,cutt.ly/UbcVq6r
Gerir Contratos,UGACO,UGACO/PMP - 0001,30/08/2018,30/08/2018,00,VENCIDO,29/08/2022,-991,SIM,EM REVISÃO,cutt.ly/snwYf1g
Emitir Nota Fiscal de Faturamento,UGOFF,GFAC/POP - 0001,04/06/2020,04/06/2020,00,VENCIDO,03/06/2024,-347,SIM,GESTOR NOTIFICADO VIA EMAIL,cutt.ly/uge3Aqr
Gerir manifestações de Ouvidoria,OUVIDORIA,OUVIDORIA/PMP – 001,16/03/2021,01/08/2024,01,VÁLIDO,31/07/2028,1172,SIM,OK,https://x.gd/SH7Mn 
Regulamento de Padronização,UGGOV,UGGOV/REG - 0001,13/03/2000,15/04/2025,08,VÁLIDO,14/04/2029,1429,SIM,OK,https://x.gd/RQ34h
Regulamento de Gerenciamento de Processos,UGGOV,UGGOV/REG - 0002,13/03/2000,15/04/2025,05,VÁLIDO,14/04/2029,1429,SIM,OK,https://x.gd/Y6aHB
Regulamento de Planejamento Estratégico,UGGOV,UGGOV/REG - 0003,15/07/2016,15/04/2025,07,VÁLIDO,14/04/2029,1429,SIM,OK,https://x.gd/snbHc
Manual de Treinamento para Modelagem de Processos com Bizagi,UGGOV,UGGOV/MTR - 0001,20/08/2018,22/10/2023,02,VÁLIDO,21/10/2027,888,SIM,OK,     https://cutt.ly/W1OF7Og
Política de Gestão Integrada de Riscos Corporativos,UNICRS,MTI/POL - 0002,05/12/2016,04/08/2021,01,VÁLIDO,03/08/2025,79,SIM,OK,https://x.gd/DaFoS
Regulamento da Gestão Integrada de Riscos Corporativos,UNICRS,UNICRS/REG - 0001,05/12/2016,04/08/2021,01,VÁLIDO,03/08/2025,79,SIM,OK,https://cutt.ly/zJx6dIV
Manual de Referência em Segurança da Informação,UNICRS,UNICRS/Manual - 01,31/12/2024,31/12/2024,00,VÁLIDO,30/12/2028,1324,SIM,OK,https://x.gd/Y9PEb
