UNIDADE,RISCOS ESTRATEGICOS,TRATAMENTO,OBJETIVO ESTRATÉGICO
UGEPV,Insatisfação do Cliente Devido à Qualidade dos Serviços |  1- Monitorar a satisfação de cada entrega - DIRC,RE01_Monitorar a satisfação de cada entrega,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGSTI,Insatisfação do Cliente Devido à Qualidade dos Serviços |  1- Monitorar a satisfação de cada entrega - DIRC,"RE_Customizar 100% dos Formulários de Incidentes e Requisição de Serviços para áreas corretas, conforme catálogo de serviços",Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGARQ,Insatisfação do Cliente Devido à Qualidade dos Serviços |  1- Monitorar a satisfação de cada entrega - DIRC,RE_Ampliar quantidade de aplicações cobertas por Sonar Qube em 40%,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGEPV,Insatisfação do Cliente Devido à Qualidade dos Serviços |  2- Elaborar e monitorar plano de ação de melhorias sobre a pesquisa anual de satisfação - DIRC e/ DTIC,RE02_Utilizar nossa ferramenta tecnologica visando criar um  Health Score e estudar os pontos de atenção para abordarmos com o cliente ,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGEPV,Insatisfação do Cliente Devido à Qualidade dos Serviços |  3- Aprimorar o pós-venda - DIRC,RE03_Monitorar a jornada do cliente de acordo com as fases em que o mesmo se encontra,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGSTI,Insatisfação do Cliente Devido à Qualidade dos Serviços |  3- Aprimorar o pós-venda - DIRC,RE_Garantir 75% de satisfação na entrega dos circuitos do MTI CONNECT,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGSTI,Insatisfação do Cliente Devido à Qualidade dos Serviços |  4- Aperfeiçoar a gestão de incidentes - DTIC,RE04_Aperfeiçoar Processo para Elevar para 80% a resolução de incidentes dentro do SLA,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGITI,Insatisfação do Cliente Devido à Qualidade dos Serviços |  4- Aperfeiçoar a gestão de incidentes - DTIC,RE04_Atender 80% dos incidentes dentro do SLA,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGEPV,Insatisfação do Cliente Devido à Qualidade dos Serviços |  5- Aperfeiçoar o processo de homologação das entregas junto ao cliente - DIRC ,"RE05_Monitorar as entregas realizadas pela equipe tecnica junto com o cliente,definindo quem faz o que, dentro do fluxo.",Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGEPV,Insatisfação do Cliente Devido à Qualidade dos Serviços |  5- Aperfeiçoar o processo de homologação das entregas junto ao cliente - DIRC ,RE05_Realizar mais agendas de homologação junto ao cliente,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGEPV,Insatisfação do Cliente Devido à Qualidade dos Serviços |  6- Melhorar o cumprimento com prazos pactuados com cliente - DIRC,RE06_Monitorar equipe tecnica interna (DTIC e Parceiro) e clientes visando remover impedimentos.,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGENP,Insatisfação do Cliente Devido à Qualidade dos Serviços |  7- Aperfeiçoar o relacionamento com parceiros estratégicos visando a qualidade intrínseca das soluções - DIRC ,RE07_Realizar reuniões bimestrais para monitorar a qualidade dos Serviços e Produtos das Parcerias,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGVEN,Insatisfação do Cliente Devido à Qualidade dos Serviços |  8- Monitorar o preço dos produtos/serviços para que estejam competitivos com o mercado - DIRC,RE08_Monitorar o Catálogo da MTI e manter atualizado os preços dos Serviços e Produtos,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGENP,Insatisfação do Cliente Devido à Qualidade dos Serviços |  8- Monitorar o preço dos produtos/serviços para que estejam competitivos com o mercado - DIRC,RE08_Monitorar os Catálogos das Parcerias e manter atualizado os preços dos Serviços e Produtos,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGCOF,Insatisfação do Cliente Devido à Qualidade dos Serviços |  9- Implementar processo de gestão e otimização de custos - DAFI ,RE_Manter a regularidade fiscal da empresa,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGCOF,Insatisfação do Cliente Devido à Qualidade dos Serviços |  9- Implementar processo de gestão e otimização de custos - DAFI ,RE09_Implementar software de gestão de custos ,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGARQ,"Insatisfação do Cliente Devido à Qualidade dos Serviços |  10- Aperfeiçoar a gestão na área técnica com adoção intensiva de práticas ágeis, gestão de projetos, gestão de capacidades - DTIC",RE10_ Implementar 1 Agente de IA para Qualidade e Desenvolvimento de Código,Objetivo 1: Elevar o nível de satisfação do cliente e de imagem institucional.
UGENP,Redução da Margem de Lucro | 11- Análise da carteira de produtos: Avaliar a rentabilidade de cada produto ou serviço e direcionar os investimentos para os produtos mais rentáveis - DIRC,RE11_Avaliar a rentabilidade dos produtos e serviços das parcerias estratégicas,Objetivo 2: Elevar o Faturamento
UGITI,Redução da Margem de Lucro | 11- Análise da carteira de produtos: Avaliar a rentabilidade de cada produto ou serviço e direcionar os investimentos para os produtos mais rentáveis - DIRC,RE_Apoiar no levantamento técnico na composição de custos das soluções corporativas (FINOPS),Objetivo 2: Elevar o Faturamento
UGCOF,Redução da Margem de Lucro | 11- Análise da carteira de produtos: Avaliar a rentabilidade de cada produto ou serviço e direcionar os investimentos para os produtos mais rentáveis - DIRC,RE_Proceder com a revisão do Portifólio de Serviços focado em Custos,Objetivo 2: Elevar o Faturamento
UGVEN,Redução da Margem de Lucro | 12- Implementação efetiva do Plano de Negócios - DIRC ,RE12_Implementar Plano de negócios,Objetivo 2: Elevar o Faturamento
UGENP,Redução da Margem de Lucro | 13- Implantação do plano de parcerias - DIRC,RE13_Execução do Plano de Parcerias,Objetivo 2: Elevar o Faturamento
UGCOF,"Redução da Margem de Lucro | 14- Implementar um acompanhamento financeiro e econômico permanente, de forma a prever as expectativas de receitas e resultados - DAFI",RE14_Manter a opção por regimes e procedimentos tributarios que garantam a elisão fiscal.,Objetivo 2: Elevar o Faturamento
UGPES,Risco de Resistência à Mudança | 15- Comunicação eficaz: Estabelecer um plano de comunicação claro e transparente para informar sobre as mudanças e seus benefícios - DAFI,RE15_Estabelecer um plano de comunicação claro e transparente para informar sobre as mudanças e seus benefícios,Objetivo 3: Aperfeiçoar a Governança Corporativa (IMGG)
UGACO,Risco de Resistência à Mudança | 15- Comunicação eficaz: Estabelecer um plano de comunicação claro e transparente para informar sobre as mudanças e seus benefícios - DAFI,RE_Implementar o uso de IA na formalização de Minuta de Editais e Contratos,Objetivo 3: Aperfeiçoar a Governança Corporativa (IMGG)
UGGOV,Risco de Resistência à Mudança | 16-Liderança engajada: Promover agendas sistematizadas com corpo gerencial - GADP/UGGOV,RE16_Promover encontro semestral com corpo gerencial - para análise das práticas e seus resultados,Objetivo 3: Aperfeiçoar a Governança Corporativa (IMGG)
UGPES,Risco de Resistência à Mudança | 17-Liderança engajada (através do programa de gestão por competência) - DAFI,RE17_Liderança engajada (através do programa de gestão por competência) ,Objetivo 3: Aperfeiçoar a Governança Corporativa (IMGG)
UGITI,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC | 18-Manutenção preventiva: Implementar um plano de manutenção preventiva para os equipamentos de TI - DTIC,RE18_Implementar melhorias no sistema de refrigeração e eletrificação do atual datacenter,Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGITI,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC | 19-Redundância de sistemas: Criar redundância em sistemas críticos para garantir a continuidade dos serviços em caso de falhas - DTIC,RE19_Implantar Link Dedicado com Parceiro Zadara para melhorar latencia na nuvem pública,Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGITI,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC | 20-Planos de contingência: Desenvolver planos de contingência para lidar com situações de emergência - DTIC,RE20_Iniciar e estruturar tratativas de segundo site no parque tecnologico de MT,Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGSDG,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC | 20-Planos de contingência: Desenvolver planos de contingência para lidar com situações de emergência - DTIC,RE20_Criar redundancia para portais de governo (liferay) Nuvem Liferay,Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UNICRS,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC | 21- Plano de Continuidade de Negócios - GADP/UNICRS,RE21_Elaborar Plano de Continuidade de Negócio,Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGGDC,"Ataques Cibernéticos | 22-Sistemas de segurança: Implementar sistemas de segurança robustos, como firewalls, antivírus e sistemas de detecção de intrusão - DTIC",RE22_Implementar SOC (Fase 1),Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGSDG,Ataques Cibernéticos | 23-Implementar desenvolvimento seguro de código - DTIC,RE23_Implementar esteira de codigo seguro para SIGADOC,Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGGDI,Ataques Cibernéticos | 23-Implementar desenvolvimento seguro de código - DTIC,RE23_Implementar esteira de codigo seguro para MT cidadao,Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGITI,Ataques Cibernéticos | 24-Implementar rotina de vulnerabilidade de ambiente - DTIC,RE24_Implementar melhorias de segurança a partir dos relatórios de vulnerabilidade (tenable) para INFOVIA,Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGSDG,Ataques Cibernéticos | 24-Implementar rotina de vulnerabilidade de ambiente - DTIC,"RE24_Implementar melhorias de segurança a partir dos relatórios de vulnerabilidade (tenable) para SIGADOC, PORTAIS LIFERAY",Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGGDC,Ataques Cibernéticos | 24-Implementar rotina de vulnerabilidade de ambiente - DTIC,"RE24_ Implementar relatório mensal de vulnerabilidade  (tenable) para MT LOGIN, MT ID, PORTAIS LIFERAY, PORTAL DE SERVIÇOS (MT.GOV.BR), SIGADOC, MT CIDADÃO e REDE INFOVIA ",Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGGDI,Ataques Cibernéticos | 24-Implementar rotina de vulnerabilidade de ambiente - DTIC,"RE24_Implementar melhorias de segurança a partir dos relatórios de vulnerabilidade (tenable) para MT LOGIN, MT ID, MT.GOV.BR, MT CIDADÃO",Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGGDC,"Ataques Cibernéticos | 25- Conscientização dos usuários: Promover campanhas de conscientização sobre segurança da informação para os colaboradores - DTIC
",RE25_Realizar dois eventos de conscientização para MTI,Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGGDC,Ataques Cibernéticos | 26-Incidentes de segurança: Estabelecer um plano de resposta a incidentes de segurança para lidar com ataques cibernéticos - DTIC,RE22_Implementar SOC (Fase 1),Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGGDC,Ataques Cibernéticos | 27-Testes de penetração: Realizar testes de penetração regularmente para identificar vulnerabilidades nos sistemas - DTIC,RE22_Implementar SOC (Fase 1),Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UNICRS,Ataques Cibernéticos | 28-Aperfeiçoar os processos de segurança da informação e de riscos que afetam os processos finalísticos - GADP/UNICRS,RE28_Aperfeiçoar os processos de segurança da informação e de riscos que afetam os processos finalísticos,Objetivo 4: Garantir alta disponibilidade das soluções de Tecnologia da Informação e Comunicação
UGGDC,Risco de Danos à Reputação | 29-Implementar monitoramento para evitar vazamento de dados - DTIC,RE29_Implementar monitoramento mensal de vazamento de dados,Objetivo 5: Garantir adequação à proteção de Dados.
UGGDC,Risco de Danos à Reputação | 30-Monitorar a efetiva implementação do projeto de LGPD - DTIC,RE29_Implementar monitoramento mensal de vazamento de dados,Objetivo 5: Garantir adequação à proteção de Dados.
UGPES,Desmotivação dos colaboradores | 31-Implementar a Gestão por competência - DAFI,RE31_Implementar a Gestão por competência ,"Objetivo 6: Promover a satisfação do colaborador e aumentar suas competências, habilidades e atitudes."
UGOFF,Desmotivação dos colaboradores | 31-Implementar a Gestão por competência - DAFI,RE_Implementar rodizio entre as gerencias: GFAC-GEFI-GEOR / UGOFF para aprimorar os conhecimentos e otimizar trabalho em 120 dias ,"Objetivo 6: Promover a satisfação do colaborador e aumentar suas competências, habilidades e atitudes."
UGACO,Desmotivação dos colaboradores | 31-Implementar a Gestão por competência - DAFI,RE_Capacitar as Equipes quanto a legislação vigente de Aquisições e Contratos - GAQS,"Objetivo 6: Promover a satisfação do colaborador e aumentar suas competências, habilidades e atitudes."
UGACO,Desmotivação dos colaboradores | 31-Implementar a Gestão por competência - DAFI,RE_Capacitar as Equipes quanto a legislação vigente de Aquisições e Contratos - GCTO,"Objetivo 6: Promover a satisfação do colaborador e aumentar suas competências, habilidades e atitudes."
