CRITERIO SUSTENTABILIDADE,PRATICAS DE GESTAO
"a) São promovidas ações de sustentabilidade ambiental, social e econômica na execução das competências institucionais.",
01 - São promovidas ações de sustentabilidade ambiental na execução das competências institucionais.,"A MTI participa em conjunto com o governo do Programa RECYTEC - Ocorre desde 2022 por meio do Decreto nº 1.336 que institui o Programa de Recondicionamento de Equipamentos Eletrônicos (Recytec) parceria entre Governo de Mato Grosso, por meio da Secretaria de Ciência, Tecnologia e Inovação (Seciteci), para descarte ambientalmente correto do lixo eletrônico evitando o descarte incorreto no meio ambiente. Após limpeza, manutenção e substituição de peças e componentes, os equipamentos são destinados para o atendimento de projetos de inclusão digital em escolas públicas, bibliotecas, e outras iniciativas de acesso à informação.(anexo 1). Neste sentido a MTI também descarta seu lixo eletrônico de acordo com a referida norma, ação desde 2022. Esta ação diz respeito efetivamente as ações e competências regimentais da MTI.

Outra ação que atuamos em parceria é por meio do programa ""A3P"" e foi instituído internamente através da Portaria nº 101/2023/MTI que Institui no âmbito Empresa Mato-grossense de Tecnologia da Informação MTI, a Comissão Gestora Interna da Agenda Ambiental da Administração Pública - CGI-A3P-MTI, com seus respectivos membros e competências.(anexo 2), E, com base nestas políticas foram desenvolvidas algumas atividades a seguir apresentadas:

Em setembro de 2022,  o dia  da árvore foi marcado com doação de 100 mudas frutíferas e nativas. A data incentiva a conscientização da preservação do meio ambiente e a importância do plantio de novas árvores.(anexo 3)

Em outubro de 2022, foi celebrado o Dia do Consumo Consciente. Em comemoração à data, a MTI, convidou todos os colaboradores a fazerem uma reflexão sobre os problemas sociais, econômicos e ambientais que resultam do modelo de produção e consumo excessivos. Em agosto de 2022 foi realizada atividade  de consumo consciente, na qual a ação é uma realização da MTI, edesenvolvida pela Unidade de Comunicação e Marketing (ASSCOM), em parceria com a Unidade de Gestão Administrativa (UGADM). A proposta é engajar os colaboradores a mudar rotinas e ter novos hábitos para evitar o desperdício e ter um uso mais sustentável da energia elétrica.(anexo 4)

Em março de 2023 a Unidade de Gestão Administrativa (UGADM) lançou uma campanha interna de conscientização: Mude seus hábitos e adote sua caneca ou squeeze! A Campanha busca reduzir o consumo de copos plásticos descartáveis dentro do ambiente interno da MTI, com o intuito de diminuir o impacto ambiental e reduzir os custos para os cofres públicos, substituindo o uso de copos descartáveis por outro reutilizável.(anexo 5)

A MTI também promove ações para eliminação de documentos físicos e busca cumprir as orientações conforme estabelece a INSTRUÇÃO NORMATIVA 003/2023/SEPLAG -  SIGADOC - prática desde 2023,que estabelece os procedimentos complementares à Política de Gestão de Documentos, a serem observados pelos servidores públicos visando a eliminação dos documentos físicos (convencionais) que se encontram acumulados no âmbito da Administração Pública Estadual direta, autárquica e fundacional.(anexo 6). Com referência a esta diretriz a MTI gerencia o índice de digitalização de documentos físicos. Este índice é  acompanhando e monitorado mensalmente  pelo Governo do Estado, através do sistema Entregas Gov, contendo o percentual de processos pendentes de digitalização de 2022 e 2023. (anexo 7)."
02 - São promovidas ações de sustentabilidade social na execução das competências institucionais.,"A MTI, possui em sua estrutura organizacional, a Unidade de Gestão de Pessoas - UGPES - responsável pela gestão e monitoramento dos  programas e campanhas sociais, de saúde.(anexo 1)

Existem os Programas:  Saúde, Segurança e Qualidade de vida no trabalho,  Prevenção de Riscos Ambientais -  PPRA, Programa de Controle Médico de Saúde Ocupacional - PCMSO, com acompanhamento contínuo e avaliação dos resultados.  São realizadas também atividades de ginástica laboral para os colaboradores, além do monitoramento de exames para admissão, demissão e periódico. Esta prática existe há mais de 2 anos.(anexo 2)

Em 2022 e 2023, as ações sociais foram acompanhadas e monitoradas pela Unidade de Gestão de Pessoas, através dos indicadores operacionais: - % de cumprimento do programa de SST"", além de planilhas com acompanhamento e  controle de:  Planilha de Agenda de Exames Períodicos 2022 e 2023 (anexo 3)

A organização promove ações sociais há mais de 02 (dois) anos, a saber: 
- Campanha Dia da Caridade - Evento realizado em Julho de 2022, com a  MTI apoiando a Campanha ""Doe 1 Litro de Leite"" para a Casa de Amparo à Família, Idoso, Crianças e Adolescentes (CAFICA), com o objetivo de conscientizar as pessoas sobre a prática da solidariedade. (anexo 4)

- A participação da MTI, como avaliadora na Feira de Software dos alunos do curso de Desenvolvedores de Sistemas (Fic-Dev), realizado pela Secretaria de Estado de Ciência, Tecnologia e Inovação - SECITECI em parceria com a Universidade do Estado de Mato Grosso – UNEMAT e a Universidade Federal de Mato Grosso – UFMT, em 2023. (anexo 5)

- Campanhas de saúde realizadas por meio dos programas - PPRA - Programa de Prevenção de Riscos Ambientais e PCMSO - Programa de Controle Médico de Saúde Ocupacional:  ações de saúde ocupacional com a realização de exames de bioimpedância, índice glicêmico, exames de vista. Além de realização de exame médico periódico anualmente com os colaboradores. A MTI disponibiliza um estagiário de psicologia para atendimento dos colaboradores. São realizadas ações de saúde ocupacional com a realização de ginástica laboral com os colaboradores. (anexo 6) 

- Desde 2021, a MTI assinou  Termo de Cooperação com a Secretaria de Segurança Pública e a Fundação Nova Chance - FUNAC, para atividade de cooperação com recuperandos do Sistema Penitenciário - onde este atuam nas dependências da MTI -.. Por meio do Termo de Cooperação 0403/2021. Desta forma esses reeducandos realizam atividades de ressocialização nas dependências da MTI. (anexo 7)

 - Em 2022 a MTI também publicou edital de processo seletivo simplificado para o preenchimento de 08 (oito) vagas de Jovem Aprendiz, mais 36 (trinta e seis) vagas para o cadastro reserva, pelo período de 24 (vinte e quatro) meses. Edital tem como objetivo a inclusão social de jovens no mercado de trabalho, visando o desenvolvimento de competências teóricas e práticas que auxiliem na preparação para o mundo do trabalho, atendendo ao Decreto nº 9.579, de 22 de novembro de 2018, artigo  45 na página pag 13. (anexo 8)"
03 - São promovidas ações de sustentabilidade econômica na execução das competências institucionais.,"A MTI possui um setor responsável pela renegociação de contratos e dívidas, abordando também questões tributárias, a UGCOF (Unidade de Gestão Contábil e Fiscal). Ainda nesta lógica de promoção de sustentabilidade, a MTI possuiu em 2022 e 2023 os seguintes indicadores gerenciados nesta temática, a saber: (anexo 1) 

Renegociação de dividas tributárias
Indicador de Geração de Despesas Tributarias Sobre o Resultado - IGDT

Autonomia Financeira
Indicador  de Autonomia de Recursos Financeiros

A UGCOF - Unidade de Gestão Contábil e Fiscal igualmente atua junto com outras unidades administrativas no sentido de promover ações de revisão contratual e gerenciamento tributário (anexo 2)

No PPA, dentro do programa 515, tivemos no ciclo 2020-2023, o seguinte indicador com foco econômico: Percentual da receita total em relação à despesa total.
A evidência pode ser observada através dos relatórios do RAG - Relatório da Ação Governamental, que em resumo é uma das prestações de contas do PPA e PTA (anexo 3)

De acordo com a missão institucional "" Prover soluções de TIC para a transformação digital do governo e melhoria da vida do cidadão."", a organização vem buscando parceiros estratégicos para ofertar produtos/serviços de alto valor público, considerando neste contexto, produtos de TECNOLOGIA DA INFORMAÇÃO. Assim, em 2022 foi possível concluir uma parceria estratégica QLIK / INTELIGÊNCIA DE NEGÓCIOS e disponibilizado o produto MTIQi (anexo 4). Em 2023 foram concluídas 4 parcerias, sendo elas com seus respectivos produtos: Fabrica de Softwares (MTI LAB) - Plataforma de Simplificação (MTI SIMPLIFICA) - Zadara - Neuvem Privada (MTI CLOUD) - Links de Comunicação (MTI CONNECT) (anexo 5)."
"b) A instituição dispõe de conselho ou instância similar, com representantes da sociedade, com foco nos aspectos ambiental, social e econômico.",
"01 - A instituição dispõe de conselho ou instância similar, com representantes da sociedade, com foco nos aspectos ambiental.",Equipe gerencial não encontrou evidências
"02 - A instituição dispõe de conselho ou instância similar, com representantes da sociedade, com foco nos aspectos social.",Equipe gerencial não encontrou evidências
"03 - A instituição dispõe de conselho ou instância similar, com representantes da sociedade, com foco nos aspectos econômico.","A MTI possui, por meio do Estatuto Social artigo 12 a 19, o Conselho Fiscal, órgão fiscalizador dos atos fiscais e de seu cumprimento legal, será constituído por 03 (três) membros efetivos e 03 (três) suplentes, todos de ilibada reputação e reconhecida capacidade técnica nas áreas de finanças públicas, preferencialmente possuir graduação em curso superior nas áreas de Contabilidade, Economia, Administração ou Direito, com registro no respectivo Conselho de sua classe e não ter sofrido nenhuma penalidade ética ou administrativa perante este e perante a administração pública.(anexo  1)

A MTI participa como membro do Conselho Estadual de Ciência, Tecnologia e Inovação - CECTI, desde 2022. Neste conselho são debatidas questões e políticas pública que influenciam positivamente os fundamentos da economia local, regional.(anexo  2)"
"c) O orçamento é divulgado e sua elaboração leva em consideração o histórico da execução orçamentária-financeira, bem como o atingimento das prioridades ou estratégias.",
"01 - A elaboração do orçamento leva em consideração o histórico da execução orçamentária-financeira, bem como o atingimento das prioridades ou estratégicas.","A MTI tem a prática na qual elabora o PTA - Plano de Trabalho Anual. Na fase de elaboração do PTA, é levado em consideração os programas, metas, indicadores dos instrumentos institucionais como: Plano Estratégico - PE e Plano Plurianual - PPA, dentre outros.

O PTA é elaborado  em planilha do Google (desde 2019) de forma compartilhada para trabalho em colaboração pelos gestores. Na mesma planilha é carregada informações a respeito do histórico da execução orçamentária financeira para acesso pelos gestores responsáveis pelas ações. As informações citadas estão disponíveis para analise e visualização através do anexo 1 (arquivos do ano de 2022 e 2023), verificar página/aba descrita como ""Valores_Histórico_Por_AÇÃO"" da coluna F até coluna O. Na mesma aba de ""Valores_Histórico_Por_AÇÃO"" da coluna  R até X tem as informações a respeito do alinhamento do PTA com os instrumentos RAG, PPA, PE e PTA, além de conter informações das metas e do atingimento das prioridades.

Nesta mesma planilha também e disponibilizado o link dos seguintes instrumentos do ano anterior para acesso dos gestores: RAG (Relatório da Ação Governamental, PPA - Plano Plurianual, INDICADORES ESTRATÉGICOS, PLANO ESTRATÉGICO, AVALIAÇÃO DA GESTÃO, RISCOS, PLANO DE AQUISIÇÃO, INDICADORES OPERACIONAIS. Desta forma, busca-se garantir que a proposição orçamentária esteja alinhada às prioridades estratégicas. Pode ser visualizado através do anexo 1, verificar página/aba descrita como ""Orienta_1_Geral"" em ambos os arquivos iniciados com ""anexo 1...""

A coordenação do processo que está à cargo da UGGOV.- Unidade de Gestão de Apoio à Governança que monitora a elaboração através das conferências e sumarização das informações 

Após a elaboração da proposta e aprovação pelas instâncias competentes, o PTA é lançado no sistema do governo denominado FIPLAN - Sistema Integrado de Planejamento, Contabilidade  e Finanças. O documento final pode ser analisado  através do Relatório Plan  20 do  FIPLAN, contendo as informações  do PTA para os exercícios de 2022 e 2023.   Arquivos iniciados com ""anexo 2..."". "
